iter	Passed	Remaining
987	18575	225
988	18593	206
989	18611	187
990	18629	169
991	18647	150
992	18664	131
993	18682	112
994	18699	93
995	18717	75
996	18734	56
997	18751	37
998	18770	18
999	18787	0
