iter	Passed	Remaining
1075	61468	163667
1076	61527	163616
1077	61584	163558
1078	61645	163511
1079	61701	163452
1080	61761	163402
1081	61821	163354
1082	61879	163296
1083	61935	163238
1084	61997	163192
1085	62059	163150
1086	62117	163093
1087	62172	163032
1088	62233	162984
1089	62287	162919
1090	62343	162859
1091	62402	162806
1092	62460	162751
1093	62519	162699
1094	62576	162640
1095	62627	162567
1096	62683	162508
1097	62739	162449
1098	62796	162391
1099	62861	162353
1100	62925	162314
1101	62982	162257
1102	63041	162205
1103	63100	162151
1104	63159	162100
1105	63215	162039
1106	63272	161981
1107	63331	161930
1108	63384	161862
1109	63442	161807
1110	63501	161754
1111	63559	161699
1112	63611	161628
1113	63666	161567
1114	63720	161501
1115	63777	161443
1116	63832	161382
1117	63888	161322
1118	63943	161258
1119	64000	161201
1120	64053	161134
1121	64108	161071
1122	64163	161009
1123	64214	160935
1124	64268	160871
1125	64326	160815
1126	64380	160751
1127	64435	160689
1128	64494	160637
1129	64556	160591
1130	64614	160536
1131	64671	160478
1132	64728	160420
1133	64779	160348
1134	64830	160278
1135	64885	160214
1136	64943	160158
1137	65001	160105
1138	65067	160070
1139	65122	160006
1140	65172	159932
1141	65229	159874
1142	65283	159810
1143	65339	159751
1144	65392	159683
1145	65447	159620
1146	65500	159554
1147	65556	159494
1148	65608	159423
1149	65658	159349
1150	65711	159283
1151	65766	159221
1152	65816	159147
1153	65871	159083
1154	65924	159016
1155	65973	158941
1156	66024	158870
1157	66074	158796
1158	66131	158737
1159	66178	158657
1160	66228	158584
1161	66282	158520
1162	66333	158448
1163	66390	158390
1164	66445	158329
1165	66498	158262
1166	66549	158191
1167	66601	158122
1168	66662	158073
1169	66720	158018
1170	66774	157955
1171	66831	157897
1172	66890	157845
1173	66943	157778
1174	67000	157721
1175	67052	157652
1176	67104	157583
1177	67163	157532
1178	67220	157474
1179	67274	157411
1180	67341	157377
1181	67386	157292
1182	67439	157224
1183	67492	157158
1184	67545	157092
1185	67600	157031
1186	67657	156974
1187	67708	156902
1188	67761	156837
1189	67813	156769
1190	67866	156701
1191	67919	156637
1192	67969	156563
1193	68021	156494
1194	68073	156426
1195	68123	156354
1196	68173	156280
1197	68227	156216
1198	68277	156144
1199	68331	156080
1200	68382	156009
1201	68435	155944
1202	68486	155874
1203	68536	155800
1204	68590	155736
1205	68644	155672
1206	68694	155601
1207	68744	155527
1208	68795	155458
1209	68849	155395
1210	68893	155309
1211	68945	155241
1212	69002	155183
1213	69056	155122
1214	69111	155060
1215	69162	154988
1216	69219	154932
1217	69276	154876
1218	69342	154840
1219	69393	154771
1220	69443	154697
1221	69500	154640
1222	69556	154583
1223	69607	154513
1224	69661	154449
1225	69713	154381
1226	69766	154317
1227	69815	154243
1228	69866	154171
1229	69918	154105
1230	69973	154043
1231	70023	153972
1232	70075	153904
1233	70126	153834
1234	70180	153771
1235	70231	153702
1236	70281	153631
1237	70338	153574
1238	70393	153514
1239	70447	153451
1240	70498	153380
1241	70552	153318
1242	70608	153260
1243	70665	153203
1244	70716	153133
1245	70768	153067
1246	70823	153006
1247	70877	152943
1248	70934	152886
1249	70988	152823
1250	71042	152761
1251	71099	152705
1252	71155	152645
1253	71205	152574
1254	71255	152503
1255	71306	152435
1256	71358	152368
1257	71417	152315
1258	71474	152260
1259	71532	152204
1260	71588	152146
1261	71639	152077
1262	71692	152012
1263	71744	151946
1264	71792	151871
1265	71846	151809
1266	71898	151741
1267	71949	151672
1268	71998	151599
1269	72047	151526
1270	72101	151464
1271	72154	151400
1272	72207	151335
1273	72260	151271
1274	72311	151202
1275	72363	151135
1276	72415	151069
1277	72464	150995
1278	72520	150937
1279	72568	150863
1280	72618	150793
1281	72673	150731
1282	72730	150676
1283	72783	150611
1284	72835	150546
1285	72889	150483
1286	72938	150411
1287	72989	150343
1288	73045	150284
1289	73099	150222
1290	73153	150159
1291	73203	150090
1292	73254	150022
1293	73306	149955
1294	73361	149895
1295	73412	149827
1296	73461	149754
1297	73516	149695
1298	73575	149643
1299	73637	149597
1300	73695	149542
1301	73746	149474
1302	73800	149412
1303	73849	149341
1304	73902	149276
1305	73956	149214
1306	74013	149158
1307	74065	149093
1308	74124	149042
1309	74180	148984
1310	74230	148913
1311	74285	148854
1312	74339	148791
1313	74394	148732
1314	74448	148670
1315	74504	148612
1316	74555	148544
1317	74605	148474
1318	74659	148413
1319	74758	148441
1320	74808	148371
1321	74856	148297
1322	74907	148230
1323	74961	148168
1324	75012	148100
1325	75063	148032
1326	75118	147972
1327	75170	147907
1328	75226	147848
1329	75281	147788
1330	75332	147720
1331	75384	147656
1332	75441	147601
1333	75494	147537
1334	75551	147480
1335	75600	147409
1336	75652	147344
1337	75704	147278
1338	75762	147224
1339	75824	147178
1340	75878	147116
1341	75929	147049
1342	75980	146981
1343	76036	146925
1344	76090	146862
1345	76142	146797
1346	76193	146731
1347	76248	146671
1348	76307	146619
1349	76355	146545
1350	76411	146488
1351	76461	146419
1352	76511	146349
1353	76565	146288
1354	76624	146236
1355	76677	146173
1356	76727	146104
1357	76785	146050
1358	76839	145989
1359	76888	145917
1360	76942	145856
1361	76994	145793
1362	77059	145751
1363	77112	145688
1364	77168	145631
1365	77222	145568
1366	77275	145505
1367	77324	145435
1368	77375	145369
1369	77432	145313
1370	77486	145252
1371	77534	145179
1372	77589	145119
1373	77642	145056
1374	77690	144984
1375	77742	144919
1376	77792	144850
1377	77842	144782
1378	77905	144737
1379	77964	144686
1380	78019	144627
1381	78076	144570
1382	78129	144509
1383	78183	144447
1384	78236	144384
1385	78289	144322
1386	78340	144254
1387	78394	144193
1388	78447	144130
1389	78497	144062
1390	78547	143994
1391	78602	143934
1392	78651	143865
1393	78711	143814
1394	78763	143750
1395	78816	143687
1396	78866	143619
1397	78919	143556
1398	78970	143490
1399	79025	143431
1400	79076	143364
1401	79126	143297
1402	79182	143239
1403	79237	143179
1404	79285	143109
1405	79338	143046
1406	79394	142989
1407	79451	142934
1408	79504	142871
1409	79559	142811
1410	79608	142742
1411	79663	142683
1412	79717	142622
1413	79768	142556
1414	79823	142498
1415	79874	142431
1416	79925	142365
1417	79980	142307
1418	80037	142250
1419	80096	142200
1420	80156	142148
1421	80203	142076
1422	80253	142008
1423	80300	141936
1424	80353	141872
1425	80411	141819
1426	80466	141760
1427	80531	141719
1428	80585	141659
1429	80639	141599
1430	80692	141536
1431	80748	141478
1432	80801	141417
1433	80852	141350
1434	80906	141289
1435	80956	141222
1436	81007	141156
1437	81059	141093
1438	81117	141040
1439	81172	140980
1440	81222	140913
1441	81275	140850
1442	81331	140794
1443	81383	140730
1444	81435	140665
1445	81497	140620
1446	81547	140552
1447	81604	140496
1448	81662	140443
1449	81716	140382
1450	81769	140320
1451	81819	140254
1452	81869	140186
1453	81921	140122
1454	81975	140061
1455	82029	140001
